device_id,event_date,maintenance_type,event_order,days_since_previous_maintenance,days_to_next_maintenance
a1,2024-05-18,medium,1,,62.0
a1,2024-07-19,medium,2,62.0,74.0
a1,2024-10-01,medium,3,74.0,62.0
a1,2024-12-02,major,4,62.0,50.0
a1,2025-01-21,medium,5,50.0,52.0
a1,2025-03-14,medium,6,52.0,57.0
a1,2025-05-10,medium,7,57.0,50.0
a1,2025-06-29,medium,8,50.0,78.0
a1,2025-09-15,medium,9,78.0,60.0
a1,2025-11-14,major,10,60.0,66.0
a1,2026-01-19,medium,11,66.0,47.0
a1,2026-03-07,medium,12,47.0,
a2,2024-06-04,medium,1,,73.0
a2,2024-08-16,medium,2,73.0,79.0
a2,2024-11-03,medium,3,79.0,59.0
a2,2025-01-01,medium,4,59.0,50.0
a2,2025-02-20,medium,5,50.0,46.0
a2,2025-04-07,medium,6,46.0,51.0
a2,2025-05-28,medium,7,51.0,54.0
a2,2025-07-21,medium,8,54.0,77.0
a2,2025-10-06,major,9,77.0,65.0
a2,2025-12-10,major,10,65.0,50.0
a2,2026-01-29,major,11,50.0,42.0
a2,2026-03-12,medium,12,42.0,
a3,2024-05-29,medium,1,,50.0
a3,2024-07-18,medium,2,50.0,74.0
a3,2024-09-30,medium,3,74.0,61.0
a3,2024-11-30,medium,4,61.0,48.0
a3,2025-01-17,medium,5,48.0,47.0
a3,2025-03-05,medium,6,47.0,62.0
a3,2025-05-06,medium,7,62.0,57.0
a3,2025-07-02,major,8,57.0,75.0
a3,2025-09-15,medium,9,75.0,63.0
a3,2025-11-17,major,10,63.0,64.0
a3,2026-01-20,medium,11,64.0,35.0
a3,2026-02-24,medium,12,35.0,40.0
a3,2026-04-05,medium,13,40.0,
a4,2024-05-28,medium,1,,49.0
a4,2024-07-16,medium,2,49.0,67.0
a4,2024-09-21,medium,3,67.0,60.0
a4,2024-11-20,medium,4,60.0,59.0
a4,2025-01-18,medium,5,59.0,33.0
a4,2025-02-20,medium,6,33.0,49.0
a4,2025-04-10,medium,7,49.0,55.0
a4,2025-06-04,medium,8,55.0,63.0
a4,2025-08-06,medium,9,63.0,65.0
a4,2025-10-10,medium,10,65.0,60.0
a4,2025-12-09,medium,11,60.0,43.0
a4,2026-01-21,medium,12,43.0,50.0
a4,2026-03-12,medium,13,50.0,
a5,2024-05-19,medium,1,,60.0
a5,2024-07-18,medium,2,60.0,65.0
a5,2024-09-21,major,3,65.0,64.0
a5,2024-11-24,medium,4,64.0,58.0
a5,2025-01-21,medium,5,58.0,35.0
