device_id,maintenance_type,total_events,n_rho_eligible_events,n_rho_ineligible_events,n_rho_raw_negative,n_rho_raw_above_1,rho_clipped_ratio,rho_clipped_min,rho_clipped_max
a1,major,2,2,0,0,0,0.0,0.06262214851186591,0.4385010796834923
a1,medium,10,9,1,0,0,0.0,0.21644941660013112,0.9237022669926457
a2,medium,9,7,2,0,0,0.0,0.16485567856781722,0.5115502872631904
a2,major,3,3,0,0,0,0.0,0.23988816230604468,0.3090547887815887
a3,major,2,2,0,0,0,0.0,0.3694902364962297,0.4833284922761777
a3,medium,11,8,3,0,0,0.0,0.23758700768365174,1.0
a4,medium,13,13,0,0,0,0.0,0.18762781730698488,1.0
a5,major,1,1,0,0,0,0.0,0.5091393024227893,0.5091393024227893
a5,medium,12,12,0,0,0,0.0,0.21354815635136806,1.0
a6,major,2,2,0,0,0,0.0,0.2846349334178144,0.3580226889625315
a6,medium,10,10,0,0,0,0.0,0.3173427645720455,1.0
a7,major,2,2,0,0,0,0.0,0.3707780445129963,0.5782511971537329
a7,medium,11,10,1,0,0,0.0,0.07189561835514494,1.0
a8,medium,13,12,1,0,0,0.0,0.06960867456026644,1.0
a9,medium,11,10,1,0,0,0.0,0.17997739436812074,0.6982581171938593
a9,major,2,2,0,0,0,0.0,0.33057421204013343,0.3915942539762094
a10,medium,10,10,0,0,0,0.0,0.0808106112574192,1.0
a10,major,3,3,0,0,0,0.0,0.11819500014357831,1.0
all,all,127,118,9,0,0,0.0,0.06262214851186591,1.0
