device_id,maintenance_type,n_eligible_events,rho_mean,rho_median,rho_q25,rho_q75,rho_std,rho_clipped_ratio
a1,major,2,0.2505616140976791,0.2505616140976791,0.1565918813047725,0.3445313468905857,0.18793946558581318,0.0
a1,medium,9,0.610588133729645,0.6689028956506883,0.44476479753784015,0.7269618526008402,0.20628915065673098,0.0
a2,medium,7,0.32981359025502316,0.3139341559415315,0.23919830966722594,0.41997919533908545,0.11818883955464882,0.0
a2,major,3,0.2692935118121983,0.2589375843489615,0.24941287332750312,0.28399618656527514,0.029171212747269908,0.0
a3,major,2,0.4264093643862037,0.4264093643862037,0.3979498004412167,0.4548689283311907,0.056919127889974,0.0
a3,medium,8,0.5193388094011896,0.4252913238956716,0.3200889234083153,0.6107777837183944,0.28739413883565,0.0
a4,medium,13,0.6392878387383334,0.684422489479768,0.5194610264806214,0.8094870605016855,0.23051369242299438,0.0
a5,major,1,0.5091393024227893,0.5091393024227893,0.5091393024227893,0.5091393024227893,0.0,0.0
a5,medium,12,0.508423474232854,0.4996813393766195,0.302039213242761,0.5932456272429829,0.2506193716030765,0.0
a6,major,2,0.3213288111901729,0.3213288111901729,0.30298187230399365,0.3396757500763522,0.03669387777235855,0.0
a6,medium,10,0.5034372331965737,0.46573734273670075,0.3551014153728611,0.5573996941509282,0.19148660957364771,0.0
a7,major,2,0.4745146208333646,0.4745146208333646,0.4226463326731804,0.5263829089935487,0.10373657632036828,0.0
a7,medium,10,0.43423883980652606,0.4435344746370719,0.2624963836535054,0.5807443534779044,0.2721495175050497,0.0
a8,medium,12,0.3574871005492775,0.255933769055981,0.16358558938545903,0.516584762965995,0.26734991976664674,0.0
a9,medium,10,0.43541763940006317,0.4236601565467075,0.34419690959359084,0.5572460894921037,0.16676781987482694,0.0
a9,major,2,0.3610842330081714,0.3610842330081714,0.34582922252415244,0.3763392434921904,0.030510020968037982,0.0
a10,medium,10,0.29361231490069584,0.20037185067899088,0.1658484146236077,0.319702891477462,0.25185294654653956,0.0
a10,major,3,0.4555441105373523,0.2484373314684785,0.18331616580602839,0.6242186657342392,0.38864287625458793,0.0
