device_id,hourly_records,observation_start,observation_end,usable_days,candidate_anomaly_count,excluded_anomaly_count,maintenance_gap_days,random_gap_days,random_long_gap_count,low_quality_day_ratio
a1,10839,2024-04-03 01:00:05,2026-04-10 22:00:00,676,101,89,12,36,4,0.1991869918699187
a2,11125,2024-04-03 02:00:05,2026-04-10 18:00:00,687,104,93,12,30,2,0.1951219512195122
a3,11921,2024-04-03 01:00:05,2026-04-10 18:00:00,692,120,110,13,30,4,0.1842818428184282
a4,11675,2024-04-03 01:00:05,2026-04-10 18:00:00,670,98,85,13,42,6,0.17750677506775067
a5,12162,2024-04-03 01:00:05,2026-04-10 18:00:00,697,146,121,13,25,2,0.18292682926829268
a6,11806,2024-04-03 01:00:05,2026-04-10 18:00:00,681,123,105,12,38,4,0.1897018970189702
a7,11976,2024-04-04 21:00:05,2026-04-10 18:00:00,684,133,123,13,28,2,0.18588873812754408
a8,11507,2024-04-04 21:00:05,2026-04-10 18:00:00,688,112,95,13,28,3,0.18995929443690637
a9,11223,2024-04-04 21:00:05,2026-04-10 18:00:00,680,110,103,13,34,4,0.19538670284938942
a10,10743,2024-04-04 21:00:05,2026-04-11 18:00:00,691,122,111,13,23,2,0.2032520325203252
