month,seasonal_index_raw,n_days,seasonal_index_adjusted,adjusted_n_days
1,-16.88218778821402,579,-13.845028554727365,579
2,-15.266727839150601,505,-11.181135757851367,505
3,-11.093814385289592,586,-5.910914544764636,586
4,-1.3599682062241945,614,-0.826471796310899,367
5,2.4160764127507894,465,2.127159845382204,344
6,11.355653636024801,571,4.123196989945869,565
7,13.4816507039691,598,8.522103108101204,598
8,16.12414910114482,593,13.58752688572365,593
9,13.175211023870814,586,12.32962537482662,586
10,2.6032185194807003,587,2.9350365134460863,587
11,-4.125390469535508,574,-3.352866722062225,574
12,-12.400527382505844,588,-9.878563995254147,588
