device_id,alpha_raw,alpha_reg_fe,cycle_decay_rate_median,cycle_decay_rate_mean,r_net_small_maintenance_background,medium_gain_median,major_gain_median,medium_recovery_ratio_median,major_recovery_ratio_median,post_recovery_trend_slope,post_recovery_trend_slope_per_event,post_recovery_trend_n_events,post_recovery_trend_reliable,n_medium_events,n_major_events,n_medium_rho_events,n_major_rho_events,n_valid_cycles
a1,92.41949657926789,5.4302306403446154,-0.3177536600453874,-0.34278540511501115,-0.3177536600453874,21.531781871595697,10.275489939025213,0.6689028956506883,0.2505616140976791,-0.0157880815259106,-0.0157880815259106,11,True,10,2,9,2,8
a2,72.03144457356667,-14.708731000185669,-0.31180193309654336,-0.3407015498960141,-0.31180193309654336,15.808381350621218,16.07604923157554,0.3139341559415315,0.2589375843489615,-0.06224679455685193,-0.06224679455685193,10,True,9,3,7,3,10
a3,93.53011780118484,5.26446033691887,-0.3962416446745425,-0.4057197125435694,-0.3962416446745425,18.770655803710888,13.72204739460848,0.4252913238956716,0.4264093643862037,-0.036443913169150535,-0.036443913169150535,10,True,11,2,8,2,8
a4,93.45037960591065,8.898982530601454,-0.4194436223231336,-0.3779076288076168,-0.4194436223231336,22.189804202617623,,0.684422489479768,,0.025659756865098582,0.025659756865098582,13,True,13,0,13,0,7
a5,91.05578397537629,3.245958437455596,-0.2761098644974969,-0.34500956622287127,-0.2761098644974969,15.720127623102996,5.227860798855829,0.4996813393766195,0.5091393024227893,-0.08313476703612309,-0.08313476703612309,13,True,12,1,12,1,11
a6,73.30347271237541,-10.763765701577615,-0.4125148826124172,-0.38353118158755317,-0.4125148826124172,25.153050224796107,22.771855853357177,0.46573734273670075,0.3213288111901729,0.051332407006286884,0.051332407006286884,12,True,10,2,10,2,8
a7,87.80981360163887,0.35071467337335793,-0.33759159854675336,-0.3435899096320021,-0.33759159854675336,13.137343243437371,23.444832100201484,0.4435344746370719,0.4745146208333646,-0.04223058532176886,-0.04223058532176886,12,True,11,2,10,2,10
a8,93.8187695567436,4.895321519671296,-0.41177415929613453,-0.3565376639005152,-0.41177415929613453,15.130916577305342,,0.255933769055981,,-0.0914789681079371,-0.0914789681079371,13,True,13,0,12,0,10
a9,81.89841371973348,-5.157038937447584,-0.24979592770153275,-0.3584419018294854,-0.24979592770153275,17.58975328744141,17.434078654308394,0.4236601565467075,0.3610842330081714,-0.031843702340441774,-0.031843702340441774,12,True,11,2,10,2,9
a10,91.43832386793379,2.5438675008456757,-0.4687766825633902,-0.3877351814921084,-0.4687766825633902,18.019034413943828,12.042742396216518,0.20037185067899088,0.2484373314684785,-0.13600270441887088,-0.13600270441887088,13,True,10,3,10,3,11
