maintenance_type,relative_day,median_centered_value,mean_centered_value,n_events
major,-3,0.5446893766304939,0.49657852675071856,16
major,-2,0.04898060914808866,0.1357616136330339,17
major,-1,-0.5037310745920642,-0.6408252412358206,16
major,1,16.58834574062194,15.60564725635864,16
major,2,16.356869992590674,15.585283936308395,17
major,3,15.577826802966214,14.963819572956696,16
major,4,15.116811623399546,14.47858811212481,16
major,5,15.568293836755494,14.553712422902379,16
major,6,14.102245778105413,13.431361716552301,16
major,7,13.625033532122039,12.734595304412839,16
major,8,13.08715262635043,12.73152592418587,17
major,9,12.650250627992477,11.916588833365125,16
major,10,11.789650390358965,11.447373200333544,16
medium,-3,0.4240084642181685,0.3901166042638078,100
medium,-2,0.020150617510680036,-0.01907627487789396,102
medium,-1,-0.43589903896188176,-0.3706588038883566,100
medium,1,18.128952198625257,18.439399339926112,99
medium,2,17.60357217561777,18.37464466073969,101
medium,3,17.43395487376381,17.865116906260813,99
medium,4,17.958224844167802,17.606237411621866,101
medium,5,16.491255363070294,16.823336367593118,101
medium,6,17.015275224093315,16.917888436069724,99
medium,7,16.264680804178894,16.31825478792708,100
medium,8,15.25257413575673,15.782539538113474,98
medium,9,15.441420902803905,15.56059483321153,100
medium,10,14.480348725201715,14.901502152600397,98
