days_since_last_maintenance,median_daily_median,mean_daily_median,n_points
1,99.67310085073942,95.98111874277436,90
2,99.648251329495,95.98751932387667,92
3,99.0322877086315,95.56663376687577,90
4,98.64754501121365,95.53705417439252,91
5,97.60325269709065,94.28946568920745,91
6,98.0004224688762,94.68751468945564,89
7,97.65954932988834,94.18658979509199,90
8,96.47744477054542,93.26442616744035,90
9,95.8820147778139,93.24260940855181,91
10,96.0259673580374,92.88688059116713,92
11,95.4797784271081,93.03823763670562,89
12,95.33335973933625,92.82538581571502,90
13,94.7422862315962,92.47936305249928,90
14,93.967632760459,91.94246710185769,85
15,93.25141679926762,91.10998829864819,86
16,92.5974977698747,90.79519222084377,91
17,92.46097548443977,90.52359269264444,92
18,92.00109511019778,90.14395884729221,92
19,91.48684533803285,89.54005799926017,90
20,91.1394138382693,89.18435095451979,91
21,90.78584050990305,89.42012211723983,91
22,90.6036503747069,88.02387228827865,91
23,90.3153618462757,88.04210194959919,89
24,89.953073250535,88.3986517772228,89
25,89.9494809722213,87.53506791860187,89
26,89.4457524623275,87.00126029974251,89
27,89.44777221412288,86.67013632928261,92
28,89.0506530018915,86.13414296973524,91
29,88.55970886942745,86.23617984534853,92
30,88.50508167446725,85.75863830475046,92
31,87.575730006845,84.83790229445594,89
32,87.32471236238447,84.90221779563079,90
33,87.57578436883105,85.0107973346555,91
34,86.93497828333138,84.45241447405178,90
35,86.09149591779747,84.61159082085867,90
36,86.11602506349215,84.80662682918194,87
37,85.60302284445795,83.84342816830689,86
38,85.1049731971951,83.59882207140579,87
39,84.33688840407092,82.52832904459137,86
40,84.87398359910175,83.32538702606898,84
41,85.56524500148583,84.31349286860134,82
42,85.52216105337911,84.44927392690033,80
43,85.2393045091228,84.61237261655246,77
44,85.15030228909222,84.81058108561353,78
45,85.12539021598792,85.49567984607738,76
46,85.2520185624914,85.30487378295905,75
47,85.90228716741339,84.51728450805389,71
48,87.435464600207,85.47005543445177,69
49,85.64008427741311,84.45160096122521,64
50,84.83271539796894,85.64273492205392,58
51,87.96826914904764,86.3201724965945,59
52,87.60081395911527,86.594510826873,58
53,87.91694434691229,86.35885411306616,56
54,87.54658862336885,85.6167619880786,56
55,87.6808080136243,85.49207272116176,54
56,88.2633337043404,86.39117318060008,51
57,87.6777655612735,85.77658872880957,51
58,86.2980568275641,85.11726601481627,51
59,88.33223989432435,85.71742778645446,47
60,90.30124245684732,85.27841192993398,42
61,88.8922989719104,84.51813950275053,39
62,90.0899725914968,84.49032821931364,35
63,90.21595585400968,84.96280362417563,32
64,90.3512021543643,84.70206653261924,27
65,91.4532676004731,86.39919740080308,23
66,91.05427746995079,87.77126577812581,21
67,92.07592905179935,87.65059289713206,20
68,89.57851177405925,85.21312824908482,19
69,88.71811912150383,82.38543528687234,18
70,89.99883757108825,84.34811859457905,17
71,89.5470082066274,83.8631458453268,16
72,90.55318949935905,83.72584420000022,15
73,89.5898144022722,83.19004480219225,13
74,89.61429180466911,82.0112307358037,11
75,87.97568608929384,79.22642497120319,9
76,87.257098926248,78.71627375961167,9
77,88.1454767888477,77.95476717710055,7
78,80.0610251242434,75.46465147515603,6
79,85.8464459310552,76.92086153264289,3
80,87.33650494751815,76.48248042781697,3
81,86.79091727456085,76.38372237708454,3
