device_id,event_sequence,event_date,days_from_observation_start,post_level_median_3d,fitted_post_level_time
a1,1,2024-05-18,0,105.37690434594384,106.37901523278603
a1,2,2024-07-19,62,111.37040428770217,105.40015417817958
a1,3,2024-10-01,136,98.32772566473854,104.23183614526219
a1,4,2024-12-02,198,92.75793531781956,103.25297509065574
a1,5,2025-01-21,248,95.65059164409134,102.4635710143602
a1,6,2025-03-14,300,113.46229731026534,101.64259077501285
a1,7,2025-05-10,357,106.61005064988565,100.74267012803595
a1,8,2025-06-29,407,106.5649180804425,99.95326605174041
a1,9,2025-09-15,485,110.977462902728,98.7217956927194
a1,10,2025-11-14,545,80.91698641087254,97.77451080116475
a1,11,2026-01-19,611,95.27960591588236,96.73249742045465
a2,1,2024-08-16,0,99.62844915031208,96.46685181084017
a2,2,2024-11-03,79,90.0731998503981,91.54935504084887
a2,3,2025-01-01,138,74.22397690776191,87.87679416199461
a2,4,2025-04-07,234,76.18907968756936,81.90110188453681
a2,5,2025-05-28,285,81.51919636080862,78.72651536213738
a2,6,2025-07-21,339,92.90735558474124,75.36518845606736
a2,7,2025-10-06,416,84.70817171366251,70.57218527518977
a2,8,2025-12-10,481,65.12782039229991,66.52614362899439
a2,9,2026-01-29,531,58.48792414251145,63.413803901151795
a2,10,2026-03-12,573,50.3322042614599,60.79943852976402
a3,1,2024-07-18,0,121.13357060973185,109.01490434110387
a3,2,2024-11-30,135,91.46599084448987,104.09497606326855
a3,3,2025-01-17,183,93.43942184050809,102.34566823114932
a3,4,2025-03-05,230,87.95654329497965,100.63280431219926
a3,5,2025-07-02,349,102.35760789728583,96.29597864507033
a3,6,2025-09-15,424,119.38279954861467,93.56268515738404
a3,7,2025-11-17,487,100.9955472212195,91.26671862772756
a3,8,2026-01-20,551,85.86116956900894,88.93430818490192
a3,9,2026-02-24,586,76.74019582239556,87.65877122398166
a3,10,2026-04-05,626,80.67498283576818,86.20101469721564
a4,1,2024-05-28,0,83.89768508112157,96.08785431512595
a4,2,2024-07-16,49,106.692019991015,97.34518240151579
a4,3,2024-09-21,116,106.84562716522716,99.06438611147739
a4,4,2024-11-20,176,88.1376978493397,100.60397152338331
a4,5,2025-01-18,235,98.04021087647371,102.11789717842412
a4,6,2025-02-20,268,110.889653579158,102.96466915497237
a4,7,2025-04-10,317,104.82163850890417,104.2219972413622
a4,8,2025-06-04,372,107.80499562537834,105.63328386894263
a4,9,2025-08-06,435,124.58741991781118,107.24984855144383
a4,10,2025-10-10,500,104.70945774535699,108.91773274767525
a4,11,2025-12-09,560,98.93251107259566,110.45731815958116
a4,12,2026-01-21,603,108.76634131338085,111.56068770478039
a4,13,2026-03-12,653,114.94324578095734,112.84367554803532
a5,1,2024-05-19,0,115.62446515410568,127.24589955576533
a5,2,2024-07-18,60,117.83482869854235,122.25781353359795
a5,3,2024-09-21,125,112.35258056742451,116.85405367624995
a5,4,2024-11-24,189,115.42313543100715,111.53342858593807
a5,5,2025-01-21,247,118.30117903379433,106.71161209784293
a5,6,2025-02-25,282,109.779813348361,103.80189525157863
a5,7,2025-04-15,331,103.5743481648625,99.72829166680859
a5,8,2025-06-14,391,104.38090384976933,94.74020564464121
a5,9,2025-08-19,457,100.98539863548433,89.25331102025709
