device_id,year,n_major_before_cap,n_major_after_cap,n_major_downgraded_to_medium,cap_rule
a1,2026,1,1,0,0_to_4_major_per_year
a1,2027,1,1,0,0_to_4_major_per_year
a1,2028,1,1,0,0_to_4_major_per_year
a1,2029,1,1,0,0_to_4_major_per_year
a1,2030,1,1,0,0_to_4_major_per_year
a1,2063,1,1,0,0_to_4_major_per_year
a1,2064,1,1,0,0_to_4_major_per_year
a1,2065,1,1,0,0_to_4_major_per_year
a1,2066,1,1,0,0_to_4_major_per_year
a1,2067,1,1,0,0_to_4_major_per_year
a1,2068,1,1,0,0_to_4_major_per_year
a1,2069,1,1,0,0_to_4_major_per_year
a1,2070,1,1,0,0_to_4_major_per_year
a1,2071,1,1,0,0_to_4_major_per_year
a1,2072,1,1,0,0_to_4_major_per_year
a1,2073,1,1,0,0_to_4_major_per_year
a1,2074,1,1,0,0_to_4_major_per_year
a1,2075,1,1,0,0_to_4_major_per_year
a1,2076,1,1,0,0_to_4_major_per_year
a1,2031,1,1,0,0_to_4_major_per_year
a1,2037,1,1,0,0_to_4_major_per_year
a1,2035,1,1,0,0_to_4_major_per_year
a1,2034,1,1,0,0_to_4_major_per_year
a1,2032,1,1,0,0_to_4_major_per_year
a1,2033,1,1,0,0_to_4_major_per_year
a1,2036,1,1,0,0_to_4_major_per_year
a1,2059,1,1,0,0_to_4_major_per_year
a1,2058,1,1,0,0_to_4_major_per_year
a1,2057,1,1,0,0_to_4_major_per_year
a1,2056,1,1,0,0_to_4_major_per_year
a1,2039,1,1,0,0_to_4_major_per_year
a1,2038,1,1,0,0_to_4_major_per_year
a1,2046,1,1,0,0_to_4_major_per_year
a1,2045,1,1,0,0_to_4_major_per_year
a1,2044,1,1,0,0_to_4_major_per_year
a1,2043,1,1,0,0_to_4_major_per_year
a1,2042,1,1,0,0_to_4_major_per_year
a1,2041,1,1,0,0_to_4_major_per_year
a1,2040,1,1,0,0_to_4_major_per_year
a1,2055,1,1,0,0_to_4_major_per_year
a1,2054,1,1,0,0_to_4_major_per_year
a1,2053,1,1,0,0_to_4_major_per_year
a1,2052,1,1,0,0_to_4_major_per_year
a1,2051,1,1,0,0_to_4_major_per_year
a1,2050,1,1,0,0_to_4_major_per_year
a1,2049,1,1,0,0_to_4_major_per_year
