device_id,initial_state,r_i_raw,r_i_shrink,r_net,r_net_use,medium_gain_raw,medium_gain_shrink,major_gain_raw,major_gain_shrink,rho_medium_raw,rho_major_raw,rho_medium_use,rho_major_use,h_max_initial,H0_max,b_h_raw,b_h_shrink,b_h_use,residual_std,n_valid_cycles,n_medium_events,n_major_events,n_medium_rho_events,n_major_rho_events,shrinkage_c
a1,96.0195130245105,-0.3177536600453874,-0.3341708700476644,-0.3177536600453874,-0.3341708700476644,21.531781871595697,20.23131423751095,10.275489939025212,14.54870283166238,0.6689028956506883,0.2505616140976791,0.5839709483409401,0.3273195247154308,116.06653786299302,116.06653786299302,-0.0157880815259106,-0.02314719643826968,-0.02314719643826968,10.947784698906021,8,10,2,9,2,5
a2,44.64156444876298,-0.3118019330965433,-0.32801409074813137,-0.3118019330965433,-0.32801409074813137,15.808381350621218,16.459094785878445,16.07604923157554,16.189760954789108,0.3139341559415315,0.2589375843489615,0.36275052562564053,0.32086577473244277,116.06653786299302,116.06653786299302,-0.0622467945568519,-0.05461027945305448,-0.05461027945305448,9.831756790568411,10,9,3,7,3,5
a3,75.7317441465837,-0.3962416446745425,-0.3824711682809906,-0.3962416446745425,-0.3824711682809906,18.770655803710888,18.41431929297044,13.72204739460848,15.5334335332576,0.4252913238956716,0.4264093643862037,0.42752290823710304,0.3775617390835807,118.39409705748193,118.39409705748193,-0.0364439131691505,-0.03740835852792022,-0.03740835852792022,11.846788334105268,8,11,2,8,2,5
a4,111.27372017043565,-0.4194436223231336,-0.39485811554320605,-0.4194436223231336,-0.39485811554320605,22.189804202617623,20.923297193374246,,16.257987988717247,0.684422489479768,,0.6140533099529972,0.3580226889625315,116.06653786299302,116.06653786299302,0.0256597568650985,0.007605032945499012,0.0,16.871693180780404,7,13,0,13,0,5
a5,68.85043429602491,-0.2761098644974969,-0.30246253373306276,-0.2761098644974969,-0.30246253373306276,15.720127623102996,16.2819662543496,5.227860798855829,14.419633457073678,0.4996813393766195,0.5091393024227893,0.47950842873155297,0.3832087912059078,117.02436206558224,117.02436206558224,-0.083134767036123,-0.07096878987204985,-0.07096878987204985,19.84908655739364,11,12,1,12,1,5
a6,85.49632535432909,-0.4125148826124172,-0.39248546855045197,-0.4125148826124172,-0.39248546855045197,25.153050224796107,22.645493139644557,22.771855853357177,18.119093092900084,0.4657373427367007,0.3213288111901729,0.4541893762189315,0.34753872388471474,116.06653786299302,116.06653786299302,0.0513324070062868,0.024664861049890793,0.0,20.317084342999202,8,10,2,10,2,5
a7,66.02400208571336,-0.3375915985467533,-0.3452072010482714,-0.3375915985467533,-0.3452072010482714,13.137343243437371,14.541416907782397,23.444832100201484,18.311372020569888,0.4435344746370719,0.4745146208333646,0.4393874641525123,0.3913060980684838,116.06653786299302,116.06653786299302,-0.0422305853217688,-0.041379604122854345,-0.041379604122854345,11.985591195155585,10,11,2,10,2,5
a8,63.545343447455195,-0.4117741592961345,-0.3946622415478588,-0.4117741592961345,-0.3946622415478588,15.130916577305342,15.825211686204263,,16.257987988717247,0.255933769055981,,0.3074513202699257,0.3580226889625315,124.11258302688114,124.11258302688114,-0.0914789681079371,-0.07699515731280447,-0.07699515731280447,18.26530027195588,10,13,0,12,0,5
a9,80.93114479596852,-0.2497959277015327,-0.289311098540738,-0.2497959277015327,-0.289311098540738,17.58975328744141,17.602448813035174,17.434078654308394,16.594013893171862,0.4236601565467075,0.3610842330081714,0.42613791875893603,0.35889741583271434,116.06653786299302,116.06653786299302,-0.0318437023404417,-0.034047686724270505,-0.034047686724270505,8.57576820307988,9,11,2,10,2,5
a10,52.18256806259282,-0.4687766825633902,-0.43492097115336437,-0.4687766825633902,-0.43492097115336437,18.019034413943828,17.88948259907637,12.042742396216518,14.677270891529474,0.2003718506789908,0.2484373314684785,0.27727904818045823,0.31692817990226163,132.40938594941895,132.40938594941895,-0.1360027044188708,-0.10915118909292325,-0.10915118909292325,27.084580530271403,11,10,3,10,3,5
