device_id,H0_max,b_H_raw,b_H_use,r_net,rho_medium_raw,rho_major_raw,rho_medium_use,rho_major_use,n_medium_rho_events,n_major_rho_events,I_i,q_major,sigma_i,shrinkage_c
a1,116.06653786299302,-0.0157880815259106,-0.02314719643826968,-0.3341708700476644,0.6689028956506883,0.2505616140976791,0.5839709483409401,0.3273195247154308,9,2,60.0,0.1666666666666666,10.947784698906021,5
a2,116.06653786299302,-0.0622467945568519,-0.05461027945305448,-0.32801409074813137,0.3139341559415315,0.2589375843489615,0.36275052562564053,0.32086577473244277,7,3,54.0,0.25,9.831756790568411,5
a3,118.39409705748193,-0.0364439131691505,-0.03740835852792022,-0.3824711682809906,0.4252913238956716,0.4264093643862037,0.42752290823710304,0.3775617390835807,8,2,59.0,0.1538461538461538,11.846788334105268,5
a4,116.06653786299302,0.0256597568650985,0.0,-0.39485811554320605,0.684422489479768,,0.6140533099529972,0.3580226889625315,13,0,57.0,0.0,16.871693180780404,5
a5,117.02436206558224,-0.083134767036123,-0.07096878987204985,-0.30246253373306276,0.4996813393766195,0.5091393024227893,0.47950842873155297,0.3832087912059078,12,1,60.0,0.0769230769230769,19.84908655739364,5
a6,116.06653786299302,0.0513324070062868,0.0,-0.39248546855045197,0.4657373427367007,0.3213288111901729,0.4541893762189315,0.34753872388471474,10,2,55.0,0.1666666666666666,20.317084342999202,5
a7,116.06653786299302,-0.0422305853217688,-0.041379604122854345,-0.3452072010482714,0.4435344746370719,0.4745146208333646,0.4393874641525123,0.3913060980684838,10,2,55.0,0.1538461538461538,11.985591195155585,5
a8,124.11258302688114,-0.0914789681079371,-0.07699515731280447,-0.3946622415478588,0.255933769055981,,0.3074513202699257,0.3580226889625315,12,0,54.5,0.0,18.26530027195588,5
a9,116.06653786299302,-0.0318437023404417,-0.034047686724270505,-0.289311098540738,0.4236601565467075,0.3610842330081714,0.42613791875893603,0.35889741583271434,10,2,56.0,0.1538461538461538,8.57576820307988,5
a10,132.40938594941895,-0.1360027044188708,-0.10915118909292325,-0.43492097115336437,0.2003718506789908,0.2484373314684785,0.27727904818045823,0.31692817990226163,10,3,57.0,0.2307692307692307,27.084580530271403,5
