device_id,segment_id,start_date,end_date,length_days,start_level,end_level,drop,decay_rate,month,period_stage,eligible_pure_decay,ineligible_reason
a1,1,2024-04-09,2024-04-29,20,90.5920634434511,83.9285500706377,-6.663513372813398,-0.3331756686406699,4,early,True,
a1,2,2024-05-22,2024-05-31,9,104.546144923329,103.034550066156,-1.5115948571729945,-0.16795498413033272,5,early,True,
a1,3,2024-06-03,2024-06-29,26,103.1424062602475,102.059782965612,-1.0826232946354963,-0.041639357485980626,6,early,True,
a1,4,2024-07-01,2024-07-05,4,99.3590960563248,102.47130578943799,3.1122097331131897,,7,early,False,non_continuous_dates
a1,5,2024-07-08,2024-07-15,7,97.31417610882605,97.2314637058055,-0.08271240302055105,-0.011816057574364436,7,early,True,
a1,6,2024-07-23,2024-07-28,5,111.883620104416,108.9654749342275,-2.9181451701884953,-0.5836290340376991,7,early,True,
a1,7,2024-07-30,2024-08-05,6,109.9069186690065,110.6102075804535,0.7032889114470038,,7,early,False,non_continuous_dates
a1,8,2024-08-09,2024-08-19,10,111.971828143065,108.8333598706275,-3.1384682724374926,-0.31384682724374924,8,early,True,
a1,9,2024-08-21,2024-09-27,37,106.3812342184755,94.36012826598305,-12.021105952492448,-0.32489475547276886,8,early,True,
a1,10,2024-10-05,2024-11-26,52,96.9088494425161,76.0107111337983,-20.898138308717805,-0.4018872751676501,10,early,True,
a1,11,2024-12-06,2024-12-25,19,91.79898754587235,81.23801892462875,-10.560968621243603,-0.5558404537496633,12,early,True,
a1,12,2024-12-28,2025-01-17,20,79.3438827689025,71.7449003805176,-7.598982388384897,-0.37994911941924486,12,early,True,
a1,13,2025-01-25,2025-01-30,5,95.1219086956016,93.1725418569456,-1.9493668386560046,-0.3898733677312009,1,early,True,
a1,14,2025-02-03,2025-02-20,17,92.3230078366637,86.2212082527511,-6.101799583912609,-0.358929387288977,2,early,True,
a1,15,2025-02-22,2025-02-28,6,85.3349009170593,83.2584953383392,-2.076405578720099,-0.3460675964533498,2,early,True,
a1,16,2025-03-18,2025-04-02,15,112.82705535784,106.383337453252,-6.443717904587999,-0.4295811936391999,3,early,True,
a1,17,2025-04-04,2025-04-30,26,108.017614614793,99.30398072628239,-8.713633888510614,-0.3351397649427159,4,early,True,
a1,18,2025-05-14,2025-06-09,26,106.579308964153,100.265544704322,-6.313764259831004,-0.24283708691657707,5,late,True,
a1,19,2025-06-11,2025-06-25,14,97.0100291606505,98.7066576707949,1.696628510144393,,6,late,False,near_medium_or_major_maintenance
a1,20,2025-07-03,2025-09-11,70,108.006390261498,90.4794610602167,-17.52692920128129,-0.250384702875447,7,late,True,
a1,21,2025-09-19,2025-11-10,52,109.573628579173,79.2796380928049,-30.293990486368102,-0.5825767401224635,9,late,True,
a1,22,2025-11-18,2025-12-16,28,79.4284773696295,60.494373648830646,-18.93410372079886,-0.6762179900285307,11,late,True,
a1,23,2025-12-18,2026-01-02,15,59.6006546549502,52.14438985768575,-7.456264797264446,-0.4970843198176297,12,late,True,
