device_id,cycle_id,start_event_date,start_maintenance_type,next_event_date,next_maintenance_type,cycle_length_days,cycle_start_level,cycle_end_level,cycle_drop,cycle_decay_rate,eligible_for_cycle_analysis,ineligible_reason
a1,1,2024-05-18,medium,2024-07-19,medium,62,105.486085217334,99.80800108652022,-5.678084130813772,-0.09158200210989956,True,
a1,2,2024-07-19,medium,2024-10-01,medium,74,111.44991202038,93.42752441055603,-18.022387609823966,-0.24354577851113468,True,
a1,3,2024-10-01,medium,2024-12-02,major,62,98.2425944710745,74.5229962777527,-23.7195981933218,-0.38257416440841613,True,
a1,4,2024-12-02,major,2025-01-21,medium,50,92.87159532643865,70.24445444566715,-22.627140880771506,-0.45254281761543014,True,
a1,5,2025-01-21,medium,2025-03-14,medium,52,95.61342382083934,82.1543781691911,-13.459045651648239,-0.2588278009932354,True,
a1,6,2025-03-14,medium,2025-05-10,medium,57,113.499943272866,98.887254130932,-14.612689141933998,-0.25636296740235087,True,
a1,7,2025-05-10,medium,2025-06-29,medium,50,106.579016923193,99.7680207809438,-6.810996142249195,-0.1362199228449839,True,
a1,8,2025-06-29,medium,2025-09-15,medium,78,106.077377354786,89.6263951267003,-16.450982228085692,-0.2109100285652012,True,
a1,9,2025-09-15,medium,2025-11-14,major,60,110.9992572194685,78.5215250062165,-32.477732213252,-0.5412955368875333,True,
a1,10,2025-11-14,major,2026-01-19,medium,66,80.9568076297243,39.8456921577185,-41.11111547200579,-0.6228956889697848,True,
a1,11,2026-01-19,medium,2026-03-07,medium,47,95.2839340078218,72.3043569048217,,,False,pre_next_window_valid_days_lt_2
a2,1,2024-06-04,medium,2024-08-16,medium,73,86.5552878745284,83.41130013371256,-3.143987740815845,-0.04306832521665541,True,
a2,2,2024-08-16,medium,2024-11-03,medium,79,99.62844915031208,73.8385011604706,-25.78994798984148,-0.3264550378460947,True,
a2,3,2024-11-03,medium,2025-01-01,medium,59,90.0742787140604,63.343875224732,-26.730403489328395,-0.4530576862598033,True,
a2,4,2025-01-01,medium,2025-02-20,medium,50,74.13905544225375,52.6757051924552,,,False,pre_next_window_valid_days_lt_2
a2,5,2025-02-20,medium,2025-04-07,medium,46,74.1610472790709,61.3572095662684,-12.803837712802498,-0.27834429810440214,True,
a2,6,2025-04-07,medium,2025-05-28,medium,51,76.2480867946907,65.3934571754665,-10.854629619224212,-0.21283587488674927,True,
a2,7,2025-05-28,medium,2025-07-21,medium,54,81.4699004945079,73.6012364148882,-7.868664079619691,-0.14571600147443872,True,
a2,8,2025-07-21,medium,2025-10-06,major,77,93.1811158243012,71.0447474098456,-22.136368414455603,-0.287485304083839,True,
a2,9,2025-10-06,major,2025-12-10,major,65,84.5497376255467,48.9883940413064,-35.5613435842403,-0.5470975936036969,True,
