device_id,start_date,end_date,commission_date,age_days_at_start,age_days_at_end,n_valid_days,n_maintenance_gap_days,n_random_gap_days,alpha_median,alpha_mean,daily_median_std,daily_median_min,daily_median_max,current_state_level,n_days_below_37
a1,2024-04-03,2026-04-10,2022-04-01,733,1470,669,12,36,96.3445604682412,92.36365957504805,14.516234747772481,38.971333305388,113.74357827795899,95.46858193148316,0
a2,2024-04-03,2026-04-10,2022-04-01,733,1470,678,12,30,73.71282958297428,72.40290285496972,14.277160199495716,37.2547422011287,101.38384248548999,43.81509265245208,0
a3,2024-04-03,2026-04-10,2022-04-01,733,1470,688,13,30,93.18691269106606,93.52996832306825,16.616021181829833,60.4364233426434,122.976233137549,69.82082960181906,0
a4,2024-04-03,2026-04-10,2022-04-01,733,1470,665,13,42,98.6451864933487,93.3874286006754,17.737021935158594,38.22949609695835,125.42724242064651,110.44724837412475,0
a5,2024-04-03,2026-04-10,2022-04-01,733,1470,692,13,25,99.07099730838209,91.20389344478379,22.497530896698215,36.34421526605295,121.059024026011,50.948587161506055,2
a6,2024-04-03,2026-04-10,2022-04-01,733,1470,677,12,38,73.16003427931975,73.29007330048314,20.683470784219104,29.14754732924645,123.3361127326515,84.66985355801819,17
a7,2024-04-04,2026-04-10,2022-04-01,734,1470,677,13,28,91.33355709757231,87.94366042603367,15.822398454102204,39.534390015674404,121.596704296963,65.19753028940247,0
a8,2024-04-04,2026-04-10,2022-04-01,734,1470,683,13,28,94.26755894900529,94.11117695087081,22.224774665500934,44.985996295457895,133.008876478384,62.3708025376779,0
a9,2024-04-04,2026-04-10,2022-04-01,734,1470,675,13,34,80.5244020011574,81.91606778352916,13.550849080343623,47.2859889743832,109.2699079241965,70.56488737184425,0
a10,2024-04-04,2026-04-11,2022-04-01,734,1471,688,13,23,92.24024856471146,91.66288361498431,32.01686795146815,26.799706373088597,147.47197434259698,51.356096266281924,44
