设备编号,有效维护周期数,周期长度中位数,周期衰减率均值,周期衰减率中位数,周期衰减率下四分位数,周期衰减率上四分位数,周期下降量中位数
a1,10,61.0,-0.319675670830797,-0.25759538419779315,-0.4350506543136766,-0.21906896605168458,-17.23668491895483
a2,10,56.5,-0.33321104618534936,-0.3069701709649668,-0.4917966919135465,-0.22921298069116247,-21.66708777698848
a3,9,62.0,-0.4051085493184087,-0.4676688629201021,-0.5633592515839508,-0.20496452626755257,-22.525857730903994
a4,12,57.0,-0.33072378454300794,-0.3348008639979638,-0.4713920163853825,-0.2247421807929827,-20.739867145605153
a5,12,60.0,-0.3494657157997238,-0.35527168469988335,-0.48343243052803364,-0.23204292169772564,-16.228966940347497
a6,11,55.0,-0.385767330877934,-0.45839206996067616,-0.5409677701189096,-0.24325946203339105,-22.91960349803381
a7,11,59.0,-0.33854469405074467,-0.3475770422829628,-0.506643235283474,-0.17521907901920428,-15.61360177519191
a8,12,54.5,-0.36361459636660415,-0.42400985110584555,-0.47202228529662094,-0.20944586512286456,-19.430341813254543
a9,11,57.0,-0.34423724199900185,-0.2416630046381919,-0.5157934579797121,-0.1897426161471466,-17.8830623432262
a10,12,57.0,-0.3913278322063498,-0.4746984380222614,-0.5416527278842178,-0.25220717741322063,-20.291791691420293
