设备编号,健康参考水平Q90,最大可恢复水平初值,当前状态水平,Hmax相对当前状态差值,Hmax是否可靠,Hmax日趋势斜率,预测使用Hmax趋势,中维护恢复比例中位数,中维护rho截断占比,中维护rho是否可靠,中维护恢复比例有效事件数,大维护恢复比例中位数,大维护rho截断占比,大维护rho是否可靠,大维护恢复比例有效事件数
a1,111.40484654028884,104.17905910518749,95.46858193148316,8.710477173704334,True,-0.010704803336541217,-0.010704803336541217,1.0,0.5,False,8,0.35681408221274835,0.0,True,2
a2,92.87043211327712,61.9531263371914,43.81509265245208,18.13803368473932,True,-0.050100492744542625,-0.050100492744542625,0.7692360796222764,0.5,False,2,0.9255646509494895,0.5,False,2
a3,119.68311939629494,83.17688449705136,69.82082960181906,13.356054895232305,True,-0.036233906665256145,-0.036233906665256145,1.0,0.6666666666666666,False,6,,,False,0
a4,114.0247130866486,114.78918601857175,110.44724837412475,4.341937644447,True,0.02529837235095337,0.0,0.7004868892692525,0.07692307692307693,True,13,,,False,0
a5,117.46227846999581,81.47394416566925,50.948587161506055,30.525357004163197,True,-0.08325829491331344,-0.08325829491331344,0.6177128724437171,0.0,True,4,,,False,0
a6,104.05190669704497,91.56894383351641,84.66985355801819,6.899090275498224,True,0.051354775566435945,0.0,0.7421530743074364,0.25,True,8,0.4901728461485137,0.0,True,2
a7,104.31305634380901,68.59957567125903,65.19753028940247,3.402045381856567,True,-0.048756607995136224,-0.048756607995136224,0.9815171791259468,0.0,False,1,0.9852311675362988,0.0,False,1
a8,127.17454131252383,69.6598657263656,62.3708025376779,7.289063188687692,True,-0.09134137602504325,-0.09134137602504325,0.8984477861106654,0.5,False,4,,,False,0
a9,104.730901031968,82.77891072634958,70.56488737184425,12.21402335450533,True,-0.03692408587740113,-0.03692408587740113,0.9982506849475691,0.42857142857142855,False,7,1.0,1.0,False,1
a10,138.68629547660302,52.789792587952505,51.356096266281924,1.4336963216705811,True,-0.1362408473960661,-0.1362408473960661,0.8947109890413749,0.0,True,2,0.7580270545323793,0.0,False,1
