model_name,hmax_scenario,device_id,future_event_index,date,maintenance_type,rule_type,rho_used_source,service_cap_scenario,year
fixed_gain_baseline,neutral,a1,1,2026-05-08,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline,neutral,a1,2,2026-07-09,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline,neutral,a1,3,2026-09-09,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main,neutral,a1,1,2026-05-08,medium,triggered_medium_time,global_rho,neutral,2026
recovery_ratio_main,neutral,a1,2,2026-07-09,medium,triggered_medium_time,global_rho,neutral,2026
recovery_ratio_main,neutral,a1,3,2026-09-09,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline_hmax_optimistic,optimistic,a1,1,2026-05-08,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline_hmax_optimistic,optimistic,a1,2,2026-07-09,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline_hmax_optimistic,optimistic,a1,3,2026-09-09,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main_hmax_optimistic,optimistic,a1,1,2026-05-08,medium,triggered_medium_time,global_rho,neutral,2026
recovery_ratio_main_hmax_optimistic,optimistic,a1,2,2026-07-09,medium,triggered_medium_time,global_rho,neutral,2026
recovery_ratio_main_hmax_optimistic,optimistic,a1,3,2026-09-09,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline_hmax_pessimistic,pessimistic,a1,1,2026-05-08,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline_hmax_pessimistic,pessimistic,a1,2,2026-07-09,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline_hmax_pessimistic,pessimistic,a1,3,2026-09-09,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main_hmax_pessimistic,pessimistic,a1,1,2026-05-08,medium,triggered_medium_time,global_rho,neutral,2026
recovery_ratio_main_hmax_pessimistic,pessimistic,a1,2,2026-07-09,medium,triggered_medium_time,global_rho,neutral,2026
recovery_ratio_main_hmax_pessimistic,pessimistic,a1,3,2026-09-09,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline_major_sensitivity,neutral,a1,1,2026-05-08,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline_major_sensitivity,neutral,a1,2,2026-07-09,medium,triggered_medium_time,fixed_gain_model,neutral,2026
fixed_gain_baseline_major_sensitivity,neutral,a1,3,2026-09-09,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main_major_sensitivity,neutral,a1,1,2026-05-08,medium,triggered_medium_time,global_rho,neutral,2026
recovery_ratio_main_major_sensitivity,neutral,a1,2,2026-07-09,medium,triggered_medium_time,global_rho,neutral,2026
recovery_ratio_main_major_sensitivity,neutral,a1,3,2026-09-09,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline,neutral,a2,1,2026-04-12,major,triggered_major_time_device_history_major_count_disabled_zero_k,fixed_gain_model,neutral,2026
fixed_gain_baseline,neutral,a2,2,2026-06-07,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main,neutral,a2,1,2026-04-12,major,triggered_major_time_device_history_major_count_disabled_zero_k,global_rho,neutral,2026
recovery_ratio_main,neutral,a2,2,2026-06-07,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline_hmax_optimistic,optimistic,a2,1,2026-04-12,major,triggered_major_time_device_history_major_count_disabled_zero_k,fixed_gain_model,neutral,2026
fixed_gain_baseline_hmax_optimistic,optimistic,a2,2,2026-06-07,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main_hmax_optimistic,optimistic,a2,1,2026-04-12,major,triggered_major_time_device_history_major_count_disabled_zero_k,global_rho,neutral,2026
recovery_ratio_main_hmax_optimistic,optimistic,a2,2,2026-06-07,medium,triggered_medium_time,global_rho,neutral,2026
fixed_gain_baseline_hmax_pessimistic,pessimistic,a2,1,2026-04-12,major,triggered_major_time_device_history_major_count_disabled_zero_k,fixed_gain_model,neutral,2026
fixed_gain_baseline_hmax_pessimistic,pessimistic,a2,2,2026-06-07,medium,triggered_medium_time,fixed_gain_model,neutral,2026
recovery_ratio_main_hmax_pessimistic,pessimistic,a2,1,2026-04-12,major,triggered_major_time_device_history_major_count_disabled_zero_k,global_rho,neutral,2026
recovery_ratio_main_hmax_pessimistic,pessimistic,a2,2,2026-06-07,medium,triggered_medium_time,global_rho,neutral,2026
