device_id,model_name,MAE,RMSE,post_maintenance_7d_MAE,rolling365_MAE,n_validation_days,n_post_maintenance_7d_days,n_rolling365_days
all,fixed_gain_baseline,8.760741751196399,11.09127337035422,10.220874219425005,1.2096505881358457,1800,262,1800
all,recovery_ratio_main,12.645620767873952,16.905888425848453,14.307443780613019,2.1618084485441282,1800,262,1800
a1,fixed_gain_baseline,10.676182907371542,12.14753668033558,16.13128038891004,1.1711053373266074,180,21,180
a1,recovery_ratio_main,3.9213925928796667,4.642333526219808,6.056638509201774,0.5419086320750445,180,21,180
a2,fixed_gain_baseline,12.101774169110364,13.368883926246285,10.324978139244134,3.48637023373431,180,21,180
a2,recovery_ratio_main,15.550652279614406,16.533391885467132,17.152268109219783,3.4504454938821505,180,21,180
a3,fixed_gain_baseline,9.11402265515708,11.83130118627255,13.485154695245921,0.5332432651829498,180,26,180
a3,recovery_ratio_main,7.9154797833663695,9.272983967334891,11.478711158083083,1.0920689396908563,180,26,180
a4,fixed_gain_baseline,7.463861879954715,9.039853952695331,10.006733326970823,0.7015574841527445,180,28,180
a4,recovery_ratio_main,8.589030776404549,10.31399088426608,11.369832800398628,0.9448368808848471,180,28,180
a5,fixed_gain_baseline,5.60065760362668,7.918057311700167,11.318271798705904,0.6866499442119662,180,28,180
a5,recovery_ratio_main,25.14077608055071,27.35559858289658,23.937685992896498,5.3042896100126615,180,28,180
a6,fixed_gain_baseline,5.986454881061383,7.3647532117466925,6.687228490269307,0.3197735592234773,180,28,180
a6,recovery_ratio_main,8.99572070911569,10.90515511529128,10.721052053645833,1.8507007085999079,180,28,180
a7,fixed_gain_baseline,12.210898636602671,14.286843017462306,12.6848937124916,0.9480839466367039,180,27,180
a7,recovery_ratio_main,14.723790391722941,18.79037143378985,16.090161490886505,1.949918368527505,180,27,180
a8,fixed_gain_baseline,9.747713876326078,11.988504296797982,11.360168562141618,2.214224752281599,180,28,180
a8,recovery_ratio_main,10.906361292180016,14.79592472376023,13.30905330238628,1.1601342368663403,180,28,180
a9,fixed_gain_baseline,3.99769227199605,5.606112210775446,2.0267173010106103,0.43854138585162017,180,27,180
a9,recovery_ratio_main,3.9117292224526503,5.404479995402879,2.243641706899606,0.5486370017335231,180,27,180
a10,fixed_gain_baseline,10.708158630757424,13.637201451116123,9.715458427525196,1.5969559727564777,180,28,180
a10,recovery_ratio_main,26.80127455045253,30.039351761602404,28.7946635322218,4.775144613168446,180,28,180
