device_id,fixed_gain_life_date,recovery_ratio_life_date,fixed_gain_remaining_years,recovery_ratio_remaining_years,difference_years,fixed_gain_MAE,recovery_ratio_MAE,rho_reliable_flag,rho_used_source_summary,preferred_model,selection_reason,note
a1,>30年,2055-05-04 00:00:00,>30,29.059548254620122,,10.676182907371542,3.9213925928796667,True,major:device_rho;medium:global_rho,recovery_ratio_main,恢复比例模型使用 device/global rho，且回测未显著差于固定增益。,恢复比例模型使用 device/global rho，且回测未显著差于固定增益。
a2,2029-10-08 00:00:00,2029-02-26 00:00:00,3.490759753593429,2.8774811772758384,-0.6132785763175908,12.101774169110364,15.550652279614406,True,major:global_rho;medium:global_rho,fixed_gain_baseline,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。
a3,2032-02-07 00:00:00,2031-06-24 00:00:00,5.823408624229979,5.19917864476386,-0.6242299794661195,9.11402265515708,7.9154797833663695,True,major:global_rho;medium:global_rho,recovery_ratio_main,恢复比例模型使用 device/global rho，且回测未显著差于固定增益。,恢复比例模型使用 device/global rho，且回测未显著差于固定增益。
a4,>30年,>30年,>30,>30,,7.463861879954715,8.589030776404549,True,medium:device_rho,fixed_gain_baseline,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。
a5,2030-08-07 00:00:00,2030-01-06 00:00:00,4.3203285420944555,3.7371663244353184,-0.5831622176591371,5.60065760362668,25.14077608055071,True,medium:device_rho,fixed_gain_baseline,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。
a6,>30年,>30年,>30,>30,,5.986454881061383,8.99572070911569,True,major:device_rho;medium:device_rho,fixed_gain_baseline,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。
a7,2029-11-10 00:00:00,2029-06-05 00:00:00,3.5811088295687883,3.1485284052019167,-0.4325804243668716,12.210898636602671,14.723790391722941,True,major:global_rho;medium:global_rho,fixed_gain_baseline,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。
a8,2027-12-04 00:00:00,2029-02-20 00:00:00,1.6454483230663928,2.861054072553046,1.2156057494866532,9.747713876326078,10.906361292180016,True,medium:global_rho,fixed_gain_baseline,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。
a9,2032-06-27 00:00:00,2032-01-07 00:00:00,6.209445585215605,5.738535249828884,-0.470910335386721,3.99769227199605,3.9117292224526503,True,major:global_rho;medium:global_rho,recovery_ratio_main,恢复比例模型使用 device/global rho，且回测未显著差于固定增益。,恢复比例模型使用 device/global rho，且回测未显著差于固定增益。
a10,2027-01-12 00:00:00,2027-03-12 00:00:00,0.7529089664613279,0.9144421629021219,0.161533196440794,10.708158630757424,26.80127455045253,True,major:global_rho;medium:device_rho,fixed_gain_baseline,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。,恢复比例模型回测 MAE 超过固定增益 5%，采用固定增益。
