model_name,hmax_scenario,device_id,commission_date,prediction_start_date,extended_horizon_years,age_at_prediction_start_years,current_real_rolling365,extended_first_date_rolling365_below_37,extended_lifetime_end_date,extended_remaining_life_years,extended_predicted_total_life_years,extended_status,extended_M_at_lifetime_test
fixed_gain_baseline,neutral,a1,2022-04-01,2026-04-12,100,4.030116358658453,90.58501076772423,2057-07-19,2057-10-19,31.520876112251884,35.55099247091034,lifetime_end,36.992922636431096
fixed_gain_baseline,neutral,a10,2022-04-01,2026-04-12,100,4.030116358658453,71.71774881933914,2027-01-12,2027-01-12,0.7529089664613279,4.78302532511978,lifetime_end,36.94537604635747
fixed_gain_baseline,neutral,a2,2022-04-01,2026-04-12,100,4.030116358658453,67.1571480547334,2029-09-06,2029-10-08,3.490759753593429,7.520876112251882,lifetime_end,36.966258709725025
fixed_gain_baseline,neutral,a3,2022-04-01,2026-04-12,100,4.030116358658453,88.6515429681911,2032-02-07,2032-02-07,5.823408624229979,9.853524982888432,lifetime_end,36.98583477047427
fixed_gain_baseline,neutral,a4,2022-04-01,2026-04-12,100,4.030116358658453,101.40817970728784,,>100年,>100,>104.03,not_reached_within_100y,
fixed_gain_baseline,neutral,a5,2022-04-01,2026-04-12,100,4.030116358658453,76.52158104564066,2030-08-07,2030-08-07,4.3203285420944555,8.350444900752908,lifetime_end,36.98034255913546
fixed_gain_baseline,neutral,a6,2022-04-01,2026-04-12,100,4.030116358658453,88.29265687847739,,>100年,>100,>104.03,not_reached_within_100y,
fixed_gain_baseline,neutral,a7,2022-04-01,2026-04-12,100,4.030116358658453,82.42586390955375,2029-11-10,2029-11-10,3.5811088295687883,7.611225188227241,lifetime_end,36.987096692262504
fixed_gain_baseline,neutral,a8,2022-04-01,2026-04-12,100,4.030116358658453,81.16723289715755,2027-12-04,2027-12-04,1.6454483230663928,5.675564681724845,lifetime_end,36.99744482509442
fixed_gain_baseline,neutral,a9,2022-04-01,2026-04-12,100,4.030116358658453,77.46763149516717,2032-06-27,2032-06-27,6.209445585215605,10.239561943874058,lifetime_end,36.985905320203386
recovery_ratio_main,neutral,a1,2022-04-01,2026-04-12,100,4.030116358658453,90.58501076772423,2055-03-13,2055-05-04,29.059548254620122,33.08966461327857,lifetime_end,36.99213549673932
recovery_ratio_main,neutral,a10,2022-04-01,2026-04-12,100,4.030116358658453,71.71774881933914,2027-03-12,2027-03-12,0.9144421629021219,4.944558521560575,lifetime_end,36.94680702516981
recovery_ratio_main,neutral,a2,2022-04-01,2026-04-12,100,4.030116358658453,67.1571480547334,2029-01-22,2029-02-26,2.8774811772758384,6.907597535934292,lifetime_end,36.980938734818714
recovery_ratio_main,neutral,a3,2022-04-01,2026-04-12,100,4.030116358658453,88.6515429681911,2031-06-24,2031-06-24,5.19917864476386,9.229295003422312,lifetime_end,36.9877799459697
recovery_ratio_main,neutral,a4,2022-04-01,2026-04-12,100,4.030116358658453,101.40817970728784,,>100年,>100,>104.03,not_reached_within_100y,
recovery_ratio_main,neutral,a5,2022-04-01,2026-04-12,100,4.030116358658453,76.52158104564066,2030-01-06,2030-01-06,3.7371663244353184,7.767282683093772,lifetime_end,36.99306977337899
recovery_ratio_main,neutral,a6,2022-04-01,2026-04-12,100,4.030116358658453,88.29265687847739,,>100年,>100,>104.03,not_reached_within_100y,
recovery_ratio_main,neutral,a7,2022-04-01,2026-04-12,100,4.030116358658453,82.42586390955375,2029-06-05,2029-06-05,3.1485284052019167,7.178644763860369,lifetime_end,36.96286086594076
recovery_ratio_main,neutral,a8,2022-04-01,2026-04-12,100,4.030116358658453,81.16723289715755,2029-01-23,2029-02-20,2.861054072553046,6.891170431211499,lifetime_end,36.97566348608819
recovery_ratio_main,neutral,a9,2022-04-01,2026-04-12,100,4.030116358658453,77.46763149516717,2032-01-07,2032-01-07,5.738535249828884,9.768651608487337,lifetime_end,36.973385568537694
