device_id,current_state_level,current_real_rolling365,cycle_decay_rate_used,maintenance_interval_median,future_maintenance_count_30y,annual_maintenance_count_30y,avg_maintenance_interval_30y,min_maintenance_interval_30y,maintenance_burden_flag,h_max_initial,hmax_trend_used,hmax_at_10y,hmax_at_30y,rolling365_min_30y,rolling365_last_30y,long_life_reason
a1,95.46858193148316,90.58501076772423,-0.2575953841977931,62.0,3,0.1,62.0,62.0,True,104.17905910518748,-0.0053524016682706,84.64279301599979,45.57561323929268,89.87003755983069,91.38828119389842,30年内已触发寿命终止
a2,43.81509265245208,67.1571480547334,-0.3069701709649668,56.5,2,0.06666666666666667,56.0,56.0,True,61.9531263371914,-0.016973459270463398,0.0,0.0,63.89361161099293,63.89361161099293,30年内已触发寿命终止
a3,69.82082960181906,88.6515429681911,-0.4676688629201021,55.5,2,0.06666666666666667,55.0,55.0,True,83.17688449705136,-0.01811695333262805,17.050004832958976,0.0,86.24060784669176,86.24060784669176,30年内已触发寿命终止
a4,110.44724837412475,101.40817970728784,-0.3348008639979638,57.0,32,1.0666666666666667,53.483870967741936,49.0,False,114.78918601857175,0.0,114.78918601857175,114.78918601857175,36.99188947495379,36.99188947495379,30年内已触发寿命终止
a5,50.948587161506055,76.52158104564066,-0.3552716846998833,60.0,13,0.43333333333333335,52.666666666666664,49.0,False,81.47394416566925,-0.02232162853853952,0.0,0.0,36.97976973040602,36.97976973040602,30年内已触发寿命终止
a6,84.66985355801819,88.29265687847739,-0.4583920699606761,71.0,2,0.06666666666666667,71.0,71.0,True,91.5689438335164,0.0,91.5689438335164,91.5689438335164,88.36354621088743,89.81043176436863,30年内已触发寿命终止
a7,65.19753028940247,82.42586390955375,-0.3475770422829628,62.0,3,0.1,56.0,50.0,True,68.59957567125903,-0.018794404293495624,0.0,0.0,69.62282266970733,69.62282266970733,30年内已触发寿命终止
a8,62.3708025376779,81.16723289715755,-0.4240098511058455,54.5,12,0.4,49.09090909090909,46.0,False,69.6598657263656,-0.019084894719552218,0.0,0.0,36.98873667606659,36.98873667606659,30年内已触发寿命终止
a9,70.56488737184425,77.46763149516717,-0.2416630046381919,62.5,5,0.16666666666666666,62.0,62.0,True,82.77891072634958,-0.01846204293870055,15.39245400009257,0.0,67.83545589470408,67.83545589470408,30年内已触发寿命终止
a10,51.35609626628192,71.71774881933914,-0.4746984380222614,74.0,2,0.06666666666666667,74.0,74.0,True,52.789792587952505,-0.014462956873411646,0.0,0.0,56.043191536568436,56.043191536568436,30年内已触发寿命终止
