policy_name,device_id,theta_M,theta_B,I_M_min,I_B_min,n_medium,n_major,n_replace,total_cost,simulation_years,annual_cost,days_below_37,min_rolling365,status
current_policy,a1,,,61.0,244.0,45,15,0,315.0,10,31.5,0,69.3674840191611,completed
current_policy,a2,,,61.0,244.0,55,5,55,16725.0,10,1672.5,915,31.008061765865943,completed
current_policy,a3,,,61.0,244.0,51,9,33,10161.0,10,1016.1,1320,27.38882450517432,completed
current_policy,a4,,,61.0,244.0,45,15,0,315.0,10,31.5,0,92.4887645202537,completed
current_policy,a5,,,61.0,244.0,53,7,43,13143.0,10,1314.3,958,30.650620064761142,completed
current_policy,a6,,,61.0,244.0,45,15,0,315.0,10,31.5,0,64.15740961212408,completed
current_policy,a7,,,61.0,244.0,54,6,49,14934.0,10,1493.4,915,30.953438160200555,completed
current_policy,a8,,,61.0,244.0,54,6,51,15534.0,10,1553.4,1168,29.160545611273573,completed
current_policy,a9,,,61.0,244.0,50,10,29,8970.0,10,897.0,541,32.5667980625758,completed
current_policy,a10,,,61.0,244.0,56,4,67,20316.0,10,2031.6,784,25.246533419893243,completed
conservative_policy,a1,60.0,45.0,30.0,120.0,37,0,0,111.0,10,11.1,0,69.1295007738836,completed
conservative_policy,a2,60.0,45.0,30.0,120.0,113,9,90,27447.0,10,2744.7,336,34.821242851101324,completed
conservative_policy,a3,60.0,45.0,30.0,120.0,110,10,50,15450.0,10,1545.0,565,33.69354382149552,completed
conservative_policy,a4,60.0,45.0,30.0,120.0,31,0,0,93.0,10,9.3,0,78.30359118020887,completed
conservative_policy,a5,60.0,45.0,30.0,120.0,114,7,70,21426.0,10,2142.6,364,35.11124970877837,completed
conservative_policy,a6,60.0,45.0,30.0,120.0,69,0,0,207.0,10,20.7,0,71.459471510875,completed
conservative_policy,a7,60.0,45.0,30.0,120.0,113,8,82,25035.0,10,2503.5,295,34.96525269053192,completed
conservative_policy,a8,60.0,45.0,30.0,120.0,113,9,82,25047.0,10,2504.7,460,33.68370329013286,completed
conservative_policy,a9,60.0,45.0,30.0,120.0,105,7,49,15099.0,10,1509.9,167,36.0133717109659,completed
conservative_policy,a10,60.0,45.0,30.0,120.0,114,9,112,34050.0,10,3405.0,420,32.568844558220235,completed
delayed_policy,a1,45.0,37.0,60.0,240.0,26,0,0,78.0,10,7.8,0,59.071637441716305,completed
delayed_policy,a2,45.0,37.0,60.0,240.0,56,5,55,16728.0,10,1672.8,854,31.305356706026856,completed
delayed_policy,a3,45.0,37.0,60.0,240.0,53,7,34,10443.0,10,1044.3,1283,28.182736785522028,completed
delayed_policy,a4,45.0,37.0,60.0,240.0,24,0,0,72.0,10,7.2,0,66.85461456692747,completed
delayed_policy,a5,45.0,37.0,60.0,240.0,57,4,44,13419.0,10,1341.9,899,31.541275245860138,completed
delayed_policy,a6,45.0,37.0,60.0,240.0,47,0,0,141.0,10,14.1,0,61.31294689988919,completed
delayed_policy,a7,45.0,37.0,60.0,240.0,55,5,50,15225.0,10,1522.5,879,30.36950019681004,completed
delayed_policy,a8,45.0,37.0,60.0,240.0,56,5,51,15528.0,10,1552.8,1071,28.0613937237534,completed
delayed_policy,a9,45.0,37.0,60.0,240.0,51,4,29,8901.0,10,890.1,534,32.2523675730582,completed
delayed_policy,a10,45.0,37.0,60.0,240.0,57,4,69,20919.0,10,2091.9,789,25.622592679443926,completed
optimized_policy,a1,45.0,37.0,60.0,240.0,26,0,0,78.0,10,7.8,0,59.071637441716305,completed
optimized_policy,a2,45.0,37.0,60.0,240.0,56,5,55,16728.0,10,1672.8,854,31.305356706026856,completed
optimized_policy,a3,45.0,37.0,60.0,240.0,53,7,34,10443.0,10,1044.3,1283,28.182736785522028,completed
optimized_policy,a4,45.0,37.0,60.0,240.0,24,0,0,72.0,10,7.2,0,66.85461456692747,completed
optimized_policy,a5,45.0,37.0,60.0,240.0,57,4,44,13419.0,10,1341.9,899,31.541275245860138,completed
optimized_policy,a6,45.0,37.0,60.0,240.0,47,0,0,141.0,10,14.1,0,61.31294689988919,completed
optimized_policy,a7,45.0,37.0,60.0,240.0,55,5,50,15225.0,10,1522.5,879,30.36950019681004,completed
optimized_policy,a8,45.0,37.0,60.0,240.0,56,5,51,15528.0,10,1552.8,1071,28.0613937237534,completed
optimized_policy,a9,45.0,37.0,60.0,240.0,51,4,29,8901.0,10,890.1,534,32.2523675730582,completed
optimized_policy,a10,45.0,37.0,60.0,240.0,57,4,69,20919.0,10,2091.9,789,25.622592679443926,completed
